State,Name,Address,Price,Bed_Info,Phone,low_price,high_price
Alabama,"149 Partridge St, Lehigh Acres, FL 33974","149 Partridge St, Lehigh Acres, FL 33974",1895,"3 Beds, 2 Baths, 1,943 sq ft",2399902892.0,1895,1895
Alabama,"2302 Loraine Ave S, Lehigh Acres, FL 33976","2302 Loraine Ave S, Lehigh Acres, FL 33976",1645,"3 Beds, 2 Baths, 1,097 sq ft",2397668847.0,1645,1645
Alabama,"2916 22nd St SW, Lehigh Acres, FL 33976","2916 22nd St SW, Lehigh Acres, FL 33976",1560,"3 Beds, 2 Baths, 1,138 sq ft",2397852321.0,1560,1560
Alabama,"9167 Aegean Cir, Lehigh Acres, FL 33936","9167 Aegean Cir, Lehigh Acres, FL 33936",1699,"3 Beds, 2 Baths, 1,403 sq ft",2393424508.0,1699,1699
Alabama,"2814 38th St SW, Lehigh Acres, FL 33976","2814 38th St SW, Lehigh Acres, FL 33976",1925,"4 Beds, 2 Baths, 1,833 sq ft",2399709920.0,1925,1925
Alabama,"2606 34th St SW, Lehigh Acres, FL 33976","2606 34th St SW, Lehigh Acres, FL 33976",2500,"4 Beds, 3 Baths, 1,916 sq ft",7866730454.0,2500,2500
Alabama,"416 Portola Ave, Lehigh Acres, FL 33974","416 Portola Ave, Lehigh Acres, FL 33974",1990,"3 Beds, 2 Baths, 1,272 sq ft",2394290286.0,1990,1990
Alabama,"2904 23rd St SW, Lehigh Acres, FL 33976","2904 23rd St SW, Lehigh Acres, FL 33976",2380,"4 Beds, 2 Baths, 1,747 sq ft",2398957906.0,2380,2380
Alabama,"4790 Jordan Ave S, Lehigh Acres, FL 33973","4790 Jordan Ave S, Lehigh Acres, FL 33973",2100,"3 Beds, 2 Baths",2393560979.0,2100,2100
Alabama,"1608 Hazel Ave S, Lehigh Acres, FL 33976","1608 Hazel Ave S, Lehigh Acres, FL 33976",2070,"3 Beds, 2 Baths, 1,408 sq ft",2399325215.0,2070,2070
Alabama,"18461 Copperhead Ct Unit 421, Lehigh Acres, FL 33936","18461 Copperhead Ct Unit 421, Lehigh Acres, FL 33936",1895,"3 Beds, 2 Baths, 1,301 sq ft",2394215347.0,1895,1895
Alabama,"9077 Aegean Cir, Lehigh Acres, FL 33936","9077 Aegean Cir, Lehigh Acres, FL 33936",1999,"2 Beds, 2 Baths, 1,120 sq ft",2394207681.0,1999,1999
Alabama,"2608 23rd St SW, Lehigh Acres, FL 33976","2608 23rd St SW, Lehigh Acres, FL 33976",2000,"4 Beds, 2 Baths, 1,570 sq ft",2392514162.0,2000,2000
Alabama,"152 Grant Blvd, Lehigh Acres, FL 33974","152 Grant Blvd, Lehigh Acres, FL 33974",2125,"4 Beds, 2 Baths, 1,833 sq ft",2394993547.0,2125,2125
Alabama,"577 Pierre Cir, Lehigh Acres, FL 33974","577 Pierre Cir, Lehigh Acres, FL 33974",1540,"3 Beds, 2 Baths, 1,223 sq ft",,1540,1540
Alabama,"3204 21st St SW, Lehigh Acres, FL 33976","3204 21st St SW, Lehigh Acres, FL 33976",1525,"3 Beds, 2 Baths, 1,100 sq ft",2392512062.0,1525,1525
Alabama,"3302 33rd St SW, Lehigh Acres, FL 33976","3302 33rd St SW, Lehigh Acres, FL 33976",1740,"3 Beds, 2 Baths, 1,314 sq ft",2392190252.0,1740,1740
Alabama,"1905 Nora Ave S, Lehigh Acres, FL 33976","1905 Nora Ave S, Lehigh Acres, FL 33976",1715,"4 Beds, 2 Baths, 1,441 sq ft",2397881970.0,1715,1715
Alabama,"348 Dellwood Ave, Lehigh Acres, FL 33936","348 Dellwood Ave, Lehigh Acres, FL 33936",1900,"2 Beds, 2 Baths, 1,336 sq ft",2392515930.0,1900,1900
Alabama,"3216 9th St SW, Lehigh Acres, FL 33976","3216 9th St SW, Lehigh Acres, FL 33976",1860,"3 Beds, 2 Baths, 1,283 sq ft",2392045577.0,1860,1860
Alabama,"3102 19th St SW, Lehigh Acres, FL 33976","3102 19th St SW, Lehigh Acres, FL 33976",1875,"4 Beds, 2 Baths, 1,833 sq ft",2396676707.0,1875,1875
Alabama,"20004 Lake Vista Cir, Lehigh Acres, FL 33936","20004 Lake Vista Cir, Lehigh Acres, FL 33936",1800,"3 Beds, 2 Baths, 1,517 sq ft",2394431326.0,1800,1800
Alabama,"2709 6th St W, Lehigh Acres, FL 33971","2709 6th St W, Lehigh Acres, FL 33971",2100,"3 Beds, 2 Baths",2393748432.0,2100,2100
Alabama,"110 Doveside Ln, Lehigh Acres, FL 33936","110 Doveside Ln, Lehigh Acres, FL 33936",1995,"4 Beds, 2 Baths, 1,683 sq ft",2394431344.0,1995,1995
Alabama,"3304 17th St SW, Lehigh Acres, FL 33976","3304 17th St SW, Lehigh Acres, FL 33976",2299,"4 Beds, 2 Baths, 1,843 sq ft",2396538998.0,2299,2299
Alabama,"3114 35th St SW, Lehigh Acres, FL 33976","3114 35th St SW, Lehigh Acres, FL 33976",2220,"3 Beds, 2 Baths, 1,508 sq ft",8443953959.0,2220,2220
Alabama,"3208 6th St SW, Lehigh Acres, FL 33976","3208 6th St SW, Lehigh Acres, FL 33976",2095,"4 Beds, 2 Baths, 1,833 sq ft",2392962762.0,2095,2095
Alabama,"168 Pullman St Unit 2, Lehigh Acres, FL 33974","168 Pullman St Unit 2, Lehigh Acres, FL 33974",2500,"3 Beds, 2 Baths",9736681014.0,2500,2500
Alabama,"2619 24th St, Lehigh Acres, FL 33976","2619 24th St, Lehigh Acres, FL 33976",2000,"2 Beds, 2 Baths",3052154994.0,2000,2000
Alabama,"20697 Hazelnut Ct, Lehigh Acres, FL 33936","20697 Hazelnut Ct, Lehigh Acres, FL 33936",2000,"2 Beds, 2 Baths, 1,564 sq ft",2393576751.0,2000,2000
Alabama,"18461 Copperhead Dr Unit 425, Lehigh Acres, FL 33936","18461 Copperhead Dr Unit 425, Lehigh Acres, FL 33936",2050,"2 Beds, 2 Baths, 1,120 sq ft",2396419379.0,2050,2050
Alabama,"2802 50th St SW, Lehigh Acres, FL 33976","2802 50th St SW, Lehigh Acres, FL 33976",1545,"4 Beds, 2 Baths, 1,333 sq ft",9045630108.0,1545,1545
Alabama,"2930 18th St SW, Lehigh Acres, FL 33976","2930 18th St SW, Lehigh Acres, FL 33976",2000,"2 Beds, 1 Bath, 1,551 sq ft",7862608585.0,2000,2000
Alabama,"149 Partridge St, Lehigh Acres, FL 33974","149 Partridge St, Lehigh Acres, FL 33974",1895,"3 Beds, 2 Baths, 1,453 sq ft",9045630108.0,1895,1895
Alabama,"432 Piper Ave, Lehigh Acres, FL 33974","432 Piper Ave, Lehigh Acres, FL 33974",2100,"3 Beds, 2 Baths, 1,100 sq ft",7863030404.0,2100,2100
Alabama,"10517 Canal Brook Ln, Lehigh Acres, FL 33936","10517 Canal Brook Ln, Lehigh Acres, FL 33936",2200,"4 Beds, 2 Baths, 1,828 sq ft",2392339345.0,2200,2200
Alabama,"438 Raymer St, Lehigh Acres, FL 33974","438 Raymer St, Lehigh Acres, FL 33974",2250,"3 Beds, 2 Baths, 1,717 sq ft",7862027713.0,2250,2250
Alabama,"18273 Gibraltar Ln, Lehigh Acres, FL 33936","18273 Gibraltar Ln, Lehigh Acres, FL 33936",1649,"4 Beds, 2 Baths, 1,203 sq ft",2396910810.0,1649,1649
Alabama,"19393 Orchidtree Ct, Lehigh Acres, FL 33936","19393 Orchidtree Ct, Lehigh Acres, FL 33936",1795,"3 Beds, 2 Baths, 1,708 sq ft",2392897533.0,1795,1795
Alabama,"736 Alabama Rd S, Lehigh Acres, FL 33974","736 Alabama Rd S, Lehigh Acres, FL 33974",2100,"2 Beds, 2 Baths, 1,200 sq ft",2398253180.0,2100,2100
Alabama,"174 Partridge St, Lehigh Acres, FL 33974","174 Partridge St, Lehigh Acres, FL 33974",1950,"3 Beds, 2 Baths, 1,574 sq ft",2398511433.0,1950,1950
Alabama,"2916 30th St SW, Lehigh Acres, FL 33976","2916 30th St SW, Lehigh Acres, FL 33976",2400,"3 Beds, 2 Baths, 1,715 sq ft",2396927354.0,2400,2400
Alabama,"343 Pembroke St, Lehigh Acres, FL 33974","343 Pembroke St, Lehigh Acres, FL 33974",1899,"3 Beds, 2 Baths, 2,111 sq ft",2398395925.0,1899,1899
Alabama,"2810-2844 44th St SW, Lehigh Acres, FL 33976","2810-2844 44th St SW, Lehigh Acres, FL 33976",2600,"3 Beds, 2 Baths, 1,714 sq ft",5619299068.0,2600,2600
Alabama,"47 Tangelo Ct, Lehigh Acres, FL 33936","47 Tangelo Ct, Lehigh Acres, FL 33936",1150,"2 Beds, 2 Baths, 812 sq ft",2393695892.0,1150,1150
Alabama,"335 Pinehurst Ave, Lehigh Acres, FL 33974","335 Pinehurst Ave, Lehigh Acres, FL 33974",1850,"4 Beds, 2 Baths, 1,620 sq ft",2392699931.0,1850,1850
Alabama,"1100 Vineyard Pl, Lehigh Acres, FL 33936","1100 Vineyard Pl, Lehigh Acres, FL 33936",1200,"1 Bed, 1 Bath, 644 sq ft",2393550423.0,1200,1200
Alabama,"315 Rushmore Ave N, Lehigh Acres, FL 33936","315 Rushmore Ave N, Lehigh Acres, FL 33936",1500,"2 Beds, 1 Bath, 1,196 sq ft",2398106375.0,1500,1500
Alabama,"2913 1st St W, Lehigh Acres, FL 33971","2913 1st St W, Lehigh Acres, FL 33971",2400,"4 Beds, 2 Baths, 1,650 sq ft",2393338065.0,2400,2400
Alabama,"3016 49th St SW, Lehigh Acres, FL 33976","3016 49th St SW, Lehigh Acres, FL 33976",2200,"3 Beds, 2 Baths, 1,289 sq ft",2398677584.0,2200,2200
Alabama,"509 Piedmont St, Lehigh Acres, FL 33974","509 Piedmont St, Lehigh Acres, FL 33974",2100,"3 Beds, 2 Baths, 1,500 sq ft",2398884458.0,2100,2100
Alabama,"16 Tangerine Ct, Lehigh Acres, FL 33936","16 Tangerine Ct, Lehigh Acres, FL 33936",1250,"2 Beds, 2 Baths, 1,200 sq ft",2399452505.0,1250,1250
Alabama,"8 Tangelo Ct, Lehigh Acres, FL 33936","8 Tangelo Ct, Lehigh Acres, FL 33936",1300,"2 Beds, 2 Baths, 840 sq ft",2399803371.0,1300,1300
Alabama,"9351 Aegean Cir, Lehigh Acres, FL 33936","9351 Aegean Cir, Lehigh Acres, FL 33936",1800,"2 Beds, 2 Baths, 1,309 sq ft",2398343249.0,1800,1800
Alabama,"429 Morgan Cir S, Lehigh Acres, FL 33936","429 Morgan Cir S, Lehigh Acres, FL 33936",2000,"3 Beds, 1.5 Baths, 926 sq ft",2398984540.0,2000,2000
Alabama,"1540 Crestwood Cir N, Lehigh Acres, FL 33936","1540 Crestwood Cir N, Lehigh Acres, FL 33936",1750,"3 Beds, 2 Baths, 1,439 sq ft",2398782733.0,1750,1750
Alabama,"610 Alabama Rd S, Lehigh Acres, FL 33974","610 Alabama Rd S, Lehigh Acres, FL 33974",2000,"3 Beds, 2 Baths, 2,386 sq ft",2399944048.0,2000,2000
Alabama,"348 Ranch Ave, Lehigh Acres, FL 33974","348 Ranch Ave, Lehigh Acres, FL 33974",2400,"3 Beds, 2 Baths, 1,672 sq ft",2396779130.0,2400,2400
Alabama,"18451 COPPERHEAD Ct Unit 537, Lehigh Acres, FL 33974","18451 COPPERHEAD Ct Unit 537, Lehigh Acres, FL 33974",1900,"2 Beds, 2 Baths, 1,150 sq ft",8046565007.0,1900,1900
Alabama,"18451 Copperhead Dr, Lehigh Acres, FL 33936","18451 Copperhead Dr, Lehigh Acres, FL 33936",2250,"2 Beds, 2 Baths, 1,150 sq ft",8046565007.0,2250,2250
Alabama,"168 Pullman St, Lehigh Acres, FL 33974","168 Pullman St, Lehigh Acres, FL 33974",2300,"3 Beds, 2 Baths, 1,500 sq ft",9736681014.0,2300,2300
Alabama,"2902 27th St SW, Lehigh Acres, FL 33976","2902 27th St SW, Lehigh Acres, FL 33976",1750,"3 Beds, 2 Baths, 1,188 sq ft",9564436939.0,1750,1750
Alabama,"20525 Copperhead Dr, Lehigh Acres, FL 33936","20525 Copperhead Dr, Lehigh Acres, FL 33936",2650,"3 Beds, 3 Baths, 1,849 sq ft",7862127688.0,2650,2650
Alabama,"1121 Wesley St, Lehigh Acres, FL 33936","1121 Wesley St, Lehigh Acres, FL 33936",1250,"1 Bed, 1 Bath, 644 sq ft",2399400426.0,1250,1250
Alabama,"2505 12th St SW, Lehigh Acres, FL 33936","2505 12th St SW, Lehigh Acres, FL 33936",2295,"4 Beds, 2 Baths, 1,822 sq ft",2397705306.0,2295,2295
Alabama,"2811-2820 20th St SW, Lehigh Acres, FL 33976","2811-2820 20th St SW, Lehigh Acres, FL 33976",2650,"3 Beds, 2 Baths, 1,700 sq ft",7866002838.0,2650,2650
Alabama,"9218 Aqua Overlook Ct, Lehigh Acres, FL 33936","9218 Aqua Overlook Ct, Lehigh Acres, FL 33936",2495,"3 Beds, 3 Baths, 2,434 sq ft",2398395925.0,2495,2495
Alabama,"326 Grant Blvd, Lehigh Acres, FL 33974","326 Grant Blvd, Lehigh Acres, FL 33974",1700,"3 Beds, 2 Baths, 1,165 sq ft",7864480189.0,1700,1700
Alabama,"328 Grant Blvd, Lehigh Acres, FL 33974","328 Grant Blvd, Lehigh Acres, FL 33974",1700,"3 Beds, 2 Baths, 1,165 sq ft",7864480189.0,1700,1700
Alabama,"2604 26th St SW, Lehigh Acres, FL 33976","2604 26th St SW, Lehigh Acres, FL 33976",2380,"3 Beds, 2 Baths, 1,747 sq ft",2398957906.0,2380,2380
Alabama,"2302 Loraine Ave S, Lehigh Acres, FL 33976","2302 Loraine Ave S, Lehigh Acres, FL 33976",1645,"3 Beds, 2 Baths, 1,097 sq ft",9045630108.0,1645,1645
Alabama,"6 Aztec Lily Ln, Lehigh Acres, FL 33936","6 Aztec Lily Ln, Lehigh Acres, FL 33936",1500,"2 Beds, 2 Baths, 853 sq ft",2392138065.0,1500,1500
Alabama,"587 Alabama Rd S, Lehigh Acres, FL 33974","587 Alabama Rd S, Lehigh Acres, FL 33974",2100,"3 Beds, 2 Baths, 1,270 sq ft",9547892697.0,2100,2100
Alabama,"18 Westminster St N, Lehigh Acres, FL 33936","18 Westminster St N, Lehigh Acres, FL 33936",1650,"2 Beds, 1 Bath, 1,284 sq ft",2398101822.0,1650,1650
Alabama,"1539 Medford Pl, Lehigh Acres, FL 33936","1539 Medford Pl, Lehigh Acres, FL 33936",1750,"3 Beds, 2 Baths, 1,206 sq ft",2399390001.0,1750,1750
Alabama,"467 Paddock St, Lehigh Acres, FL 33974","467 Paddock St, Lehigh Acres, FL 33974",2200,"3 Beds, 2 Baths, 1,630 sq ft",2392040552.0,2200,2200
Alabama,"18461 Copperhead Dr Unit 436, Lehigh Acres, FL 33936","18461 Copperhead Dr Unit 436, Lehigh Acres, FL 33936",3495,"2 Beds, 2 Baths, 1,154 sq ft",2393707930.0,3495,3495
Alabama,"2505 39th St SW, Lehigh Acres, FL 33976","2505 39th St SW, Lehigh Acres, FL 33976",2250,"3 Beds, 2 Baths, 1,441 sq ft",9546409111.0,2250,2250
Alabama,"12 Westminster St N, Lehigh Acres, FL 33936","12 Westminster St N, Lehigh Acres, FL 33936",1250,"1 Bed, 1 Bath, 644 sq ft",2397458090.0,1250,1250
Alabama,"2916 22nd St SW, Lehigh Acres, FL 33976","2916 22nd St SW, Lehigh Acres, FL 33976",1560,"3 Beds, 2 Baths, 1,138 sq ft",9045630108.0,1560,1560
Alabama,"2909 23, Lehigh Acres, FL 33976","2909 23, Lehigh Acres, FL 33976",1800,"2 Beds, 1 Bath",7868973326.0,1800,1800
Alabama,"1125 Gifford Ave S, Lehigh Acres, FL 33936","1125 Gifford Ave S, Lehigh Acres, FL 33936",1595,"2 Beds, 1.5 Baths, 802 sq ft",2398106375.0,1595,1595
Alabama,"351 Ranchito Ave, Lehigh Acres, FL 33974","351 Ranchito Ave, Lehigh Acres, FL 33974",2200,"3 Beds, 2.5 Baths, 1,500 sq ft",2398107806.0,2200,2200
Alabama,"2802 40th St SW, Lehigh Acres, FL 33976","2802 40th St SW, Lehigh Acres, FL 33976",2400,"3 Beds, 2 Baths, 1,756 sq ft",9736681014.0,2400,2400
Alabama,"2502 35th St SW, Lehigh Acres, FL 33976","2502 35th St SW, Lehigh Acres, FL 33976",2000,"3 Beds, 2 Baths, 1,230 sq ft",2396034204.0,2000,2000
Alabama,"18461 Copperhead Dr Unit 431, Lehigh Acres, FL 33936","18461 Copperhead Dr Unit 431, Lehigh Acres, FL 33936",2295,"3 Beds, 2 Baths, 1,301 sq ft",2393707930.0,2295,2295
Alabama,"151 Pennfield St, Lehigh Acres, FL 33974","151 Pennfield St, Lehigh Acres, FL 33974",2000,"3 Beds, 2 Baths, 2,384 sq ft",2392234238.0,2000,2000
Alabama,"2607 30th St SW, Lehigh Acres, FL 33976","2607 30th St SW, Lehigh Acres, FL 33976",2020,"3 Beds, 2 Baths, 1,047 sq ft",9045630108.0,2020,2020
Alabama,"424 Alabama Rd S, Lehigh Acres, FL 33936","424 Alabama Rd S, Lehigh Acres, FL 33936",2950,"5 Beds, 3 Baths, 1,647 sq ft",7863252557.0,2950,2950
Alabama,"1648 Cheshire Cir W, Lehigh Acres, FL 33936","1648 Cheshire Cir W, Lehigh Acres, FL 33936",1800,"3 Beds, 2 Baths, 1,217 sq ft",2399400426.0,1800,1800
Alabama,"3014 13th St SW, Lehigh Acres, FL 33976","3014 13th St SW, Lehigh Acres, FL 33976",2050,"3 Beds, 2 Baths, 1,187 sq ft",2392019734.0,2050,2050
Alabama,"117 Milwaukee Blvd, Lehigh Acres, FL 33974","117 Milwaukee Blvd, Lehigh Acres, FL 33974",1800,"3 Beds, 2 Baths, 1,209 sq ft",2398411573.0,1800,1800
Alabama,"46 Desert Candle Cir, Lehigh Acres, FL 33936","46 Desert Candle Cir, Lehigh Acres, FL 33936",1700,"2 Beds, 2 Baths, 854 sq ft",2398951025.0,1700,1700
Alabama,"417 Paddock St, Lehigh Acres, FL 33974","417 Paddock St, Lehigh Acres, FL 33974",2250,"3 Beds, 2 Baths, 1,717 sq ft",7862027713.0,2250,2250
Alabama,"209 Rockcliff Ave, Lehigh Acres, FL 33936","209 Rockcliff Ave, Lehigh Acres, FL 33936",1575,"2 Beds, 1.5 Baths, 996 sq ft",2393695892.0,1575,1575
Alabama,"20524 Copperhead Dr, Lehigh Acres, FL 33936","20524 Copperhead Dr, Lehigh Acres, FL 33936",2600,"3 Beds, 3 Baths",7867472101.0,2600,2600
Alabama,"156 Pullman St, Lehigh Acres, FL 33974","156 Pullman St, Lehigh Acres, FL 33974",2100,"3 Beds, 2 Baths, 1,214 sq ft",2398951025.0,2100,2100
Alabama,"9028 Aegean Cir, Lehigh Acres, FL 33936","9028 Aegean Cir, Lehigh Acres, FL 33936",1650,"2 Beds, 2 Baths, 1,120 sq ft",2396004561.0,1650,1650
Alabama,"1618 Ridgecrest St, Lehigh Acres, FL 33936","1618 Ridgecrest St, Lehigh Acres, FL 33936",1500,"2 Beds, 2 Baths, 993 sq ft",2393695892.0,1500,1500
Alabama,"18461 Copperhead Dr Unit 421, Lehigh Acres, FL 33936","18461 Copperhead Dr Unit 421, Lehigh Acres, FL 33936",1895,"3 Beds, 2 Baths, 1,301 sq ft",2393707930.0,1895,1895
Alabama,"2906 24th St SW, Lehigh Acres, FL 33976","2906 24th St SW, Lehigh Acres, FL 33976",2100,"3 Beds, 2 Baths, 1,620 sq ft",2398107806.0,2100,2100
Alabama,"2716 23rd St SW, Lehigh Acres, FL 33976","2716 23rd St SW, Lehigh Acres, FL 33976",1710,"3 Beds, 2 Baths, 1,204 sq ft",2398102383.0,1710,1710
Alabama,"149 Pennfield St Unit 149, Lehigh Acres, FL 33974","149 Pennfield St Unit 149, Lehigh Acres, FL 33974",1700,"3 Beds, 2 Baths",9542748672.0,1700,1700
Alabama,"10736 Crossback Ln, Lehigh Acres, FL 33936","10736 Crossback Ln, Lehigh Acres, FL 33936",1850,"2 Beds, 2 Baths, 1,342 sq ft",2393337125.0,1850,1850
Alabama,"21 Dawn Flower Cir, Lehigh Acres, FL 33936","21 Dawn Flower Cir, Lehigh Acres, FL 33936",1200,"2 Beds, 2 Baths, 854 sq ft",3175348301.0,1200,1200
Alabama,"9357 Aegean Cir, Lehigh Acres, FL 33936","9357 Aegean Cir, Lehigh Acres, FL 33936",2800,"2 Beds, 2 Baths, 1,353 sq ft",8282603965.0,2800,2800
Alabama,"2712 46th St SW, Lehigh Acres, FL 33976","2712 46th St SW, Lehigh Acres, FL 33976",2000,"3 Beds, 2 Baths, 1,212 sq ft",3059721969.0,2000,2000
Alabama,"402 Grant Blvd, Lehigh Acres, FL 33974","402 Grant Blvd, Lehigh Acres, FL 33974",2300,"3 Beds, 2 Baths, 1,200 sq ft",2396925171.0,2300,2300
Alabama,"3100 Flora Ave S, Lehigh Acres, FL 33976","3100 Flora Ave S, Lehigh Acres, FL 33976",2100,"3 Beds, 2 Baths, 1,356 sq ft",7868325212.0,2100,2100
Alabama,"10 Tangelo Ct, Lehigh Acres, FL 33936","10 Tangelo Ct, Lehigh Acres, FL 33936",1200,"2 Beds, 2 Baths, 840 sq ft",2395426906.0,1200,1200
Alabama,"44 Tangelo Ct, Lehigh Acres, FL 33936","44 Tangelo Ct, Lehigh Acres, FL 33936",1250,"2 Beds, 2 Baths, 812 sq ft",2399452505.0,1250,1250
Alabama,"334 Grant Blvd, Lehigh Acres, FL 33974","334 Grant Blvd, Lehigh Acres, FL 33974",1600,"3 Beds, 2 Baths, 1,250 sq ft",2392226463.0,1600,1600
Alabama,"428-430 Petite Ave, Lehigh Acres, FL 33974","428-430 Petite Ave, Lehigh Acres, FL 33974",2100,"3 Beds, 2 Baths, 1,189 sq ft",2394704573.0,2100,2100
Alabama,"2709 6th St W, Lehigh Acres, FL 33971","2709 6th St W, Lehigh Acres, FL 33971",2100,"3 Beds, 2 Baths",7867150478.0,2100,2100
Alabama,"3204 35th St SW, Lehigh Acres, FL 33976","3204 35th St SW, Lehigh Acres, FL 33976",2300,"4 Beds, 2 Baths, 1,692 sq ft",2392819884.0,2300,2300
Alabama,"3103 6th St SW, Lehigh Acres, FL 33976","3103 6th St SW, Lehigh Acres, FL 33976",3000,"3 Beds, 2 Baths, 2,321 sq ft",2398101261.0,3000,3000
Alabama,"3216 9th St SW, Lehigh Acres, FL 33976","3216 9th St SW, Lehigh Acres, FL 33976",1860,"3 Beds, 2 Baths, 1,283 sq ft",6562527865.0,1860,1860
Alabama,"20012 Lake Vista Cir N, Lehigh Acres, FL 33936","20012 Lake Vista Cir N, Lehigh Acres, FL 33936",1800,"3 Beds, 2 Baths, 1,442 sq ft",2394627776.0,1800,1800
Alabama,"348 Dellwood Ave, Lehigh Acres, FL 33936","348 Dellwood Ave, Lehigh Acres, FL 33936",1650,"2 Beds, 2 Baths, 1,336 sq ft",2394627776.0,1650,1650
Alabama,"2806 5th St W, Lehigh Acres, FL 33971","2806 5th St W, Lehigh Acres, FL 33971",2300,"3 Beds, 2 Baths, 1,614 sq ft",7867785111.0,2300,2300
Alabama,"3204 21st St SW, Lehigh Acres, FL 33976","3204 21st St SW, Lehigh Acres, FL 33976",1525,"3 Beds, 2 Baths, 1,048 sq ft",9045630108.0,1525,1525
Alabama,"118 Georgia Rd, Lehigh Acres, FL 33936","118 Georgia Rd, Lehigh Acres, FL 33936",1575,"3 Beds, 2 Baths, 1,430 sq ft",2394704573.0,1575,1575
